date,headline,url,source,scraped_on
2024-01-01,Economists’ advice to government as Tanzania welcomes 2024,https://www.thecitizen.co.tz/tanzania/news/national/economists-advice-to-government-as-tanzania-welcomes-2024--4479350,The Citizen,2026-05-20
2024-01-01,Tanzania moves to bring down soaring sugar prices,https://www.thecitizen.co.tz/tanzania/news/national/tanzania-moves-to-bring-down-soaring-sugar-prices-4478916,The Citizen,2026-05-20
2023-12-31,Disagreement on days set to climb Mt. Kilimanjaro,https://www.thecitizen.co.tz/tanzania/news/national/disagreement-on-days-set-to-climb-mt-kilimanjaro-4478212,The Citizen,2026-05-20
2023-12-31,Why government’s directive on boarding schools flopped,https://www.thecitizen.co.tz/tanzania/news/national/why-government-s-directive-on-boarding-schools-flopped-4478204,The Citizen,2026-05-20
2023-12-30,TRC receives new locomotives and passenger cars,https://www.thecitizen.co.tz/tanzania/news/national/trc-gears-up-for-sgr-launch-with-new-locomotives-and-passenger-cars-4477980,The Citizen,2026-05-20
2023-12-30,Tanzania forecasts Sh22.5 trillion PPP boom by 2025,https://www.thecitizen.co.tz/tanzania/news/national/tanzania-forecasts-sh22-5-trillion-ppp-boom-by-2025-4477636,The Citizen,2026-05-20
2023-12-29,Tanzania's trophy hunting industry under scrutiny,https://www.thecitizen.co.tz/tanzania/news/national/tanzania-s-trophy-hunting-industry-under-scrutiny-4476698,The Citizen,2026-05-20
2023-12-28,Samia receives third doctorate in 12 months,https://www.thecitizen.co.tz/tanzania/news/national/suza-honours-president-samia-with-doctorate-for-tourism-promotion-4476322,The Citizen,2026-05-20
2023-12-28,Tanzanians count down the days before SGR services commence,https://www.thecitizen.co.tz/tanzania/news/national/tanzanians-count-down-the-days-before-sgr-services-commence-4475848,The Citizen,2026-05-20
2023-12-27,Why cement prices are high despite surplus production,https://www.thecitizen.co.tz/tanzania/news/national/why-cement-prices-are-high-despite-surplus-production-4474948,The Citizen,2026-05-20
2023-12-27,Empowerment drive to benefit small enterprises,https://www.thecitizen.co.tz/tanzania/news/national/empowerment-drive-to-benefit-small-enterprises-4475060,The Citizen,2026-05-20
