YearMonth,num_headlines,Top_Category,category %,Negative %,Neutral %,Positive %,Dominant_Sentiment,Inflation %,USD/TZS_Rate,Rate_Change_%
2022-01,24,Trade,29.17,33.33,4.17,62.5,Positive,3.997044423844387,2303.3809523809523,0.0
2022-02,13,Agriculture,30.77,15.38,15.38,69.23,Positive,3.6735813194424423,2308.8,0.23526493146721617
2022-03,34,Banking,23.53,8.82,2.94,88.24,Positive,3.5523671710834925,2312.5652173913045,0.16308114134200302
2022-04,29,Trade,24.14,27.59,13.79,58.62,Positive,3.783245850918937,2317.7619047619046,0.22471527857979012
2022-05,30,Trade,40.0,13.33,10.0,76.67,Positive,4.026812085982612,2320.818181818182,0.13186328802790026
2022-06,28,Banking,28.57,25.0,10.71,64.29,Positive,4.436698099784819,2326.090909090909,0.22719260448900158
2022-07,30,Banking,30.0,6.67,23.33,70.0,Positive,4.5374990509845725,2327.0,0.03908234650409348
2022-08,55,Agriculture,20.0,12.73,12.73,74.55,Positive,4.649160538109398,2326.695652173913,-0.0130789783449492
2022-09,104,Banking,22.12,9.62,10.58,79.81,Positive,4.839360260234615,2326.318181818182,-0.016223452146757467
2022-10,109,Agriculture,30.28,6.42,9.17,84.4,Positive,4.9422496334237564,2326.5238095238096,0.008839190925580276
2022-11,100,Policy,25.0,10.0,16.0,74.0,Positive,4.8788649572730325,2326.818181818182,0.012652881228514268
2022-12,82,Agriculture,18.29,18.29,14.63,67.07,Positive,4.842713781268393,2328.0454545454545,0.05274467669464933
2023-01,102,Trade,31.37,9.8,10.78,79.41,Positive,4.941069271691112,2331.5,0.1483882304703643
2023-02,68,Trade,25.0,13.24,5.88,80.88,Positive,4.777182347150166,2334.25,0.11794981771391377
2023-03,77,Policy,27.27,7.79,15.58,76.62,Positive,4.7073497564106725,2335.086956521739,0.035855479136293056
2023-04,67,Banking,19.4,5.97,8.96,85.07,Positive,4.319197754401838,2341.0,0.2532258364831508
2023-05,97,Banking,20.62,10.31,12.37,77.32,Positive,3.9655169718367578,2352.913043478261,0.5088869490927461
2023-06,94,Policy,25.53,12.77,14.89,72.34,Positive,3.5651235186964003,2383.8636363636365,1.3154159254275655
2023-07,50,Banking,26.0,10.0,14.0,76.0,Positive,3.318709579798851,2438.809523809524,2.3049089976347137
2023-08,52,Banking,21.15,15.38,11.54,73.08,Positive,3.33778489328902,2488.3217391304347,2.030179677319399
2023-09,82,Agriculture,31.71,4.88,20.73,74.39,Positive,3.3293763179990776,2500.6666666666665,0.49611460375480476
2023-10,87,Trade,25.29,6.9,5.75,87.36,Positive,3.1698353082902475,2500.909090909091,0.00969438452778082
2023-11,57,Policy,28.07,7.02,15.79,77.19,Positive,3.2219852960810424,2498.090909090909,-0.11268629589240575
2023-12,52,Policy,25.0,17.31,5.77,76.92,Positive,3.031404379435143,2506.7366666666667,0.34609459344712157
2024-01,69,Trade,23.19,17.39,20.29,62.32,Positive,2.95991966862994,2518.2652173913043,0.45990274439029477
2024-02,98,Agriculture,17.35,5.1,14.29,80.61,Positive,3.028732947088386,2540.4285714285716,0.8801040448085384
2024-03,98,Trade,17.35,10.2,9.18,80.61,Positive,3.0166409861265286,2548.6190476190477,0.3224052934450494
2024-04,62,Trade,24.19,12.9,9.68,77.42,Positive,3.126488350131984,2579.9545454545455,1.2295088928559794
2024-05,93,Agriculture,21.51,7.53,8.6,83.87,Positive,3.071539799611389,2590.0,0.3893655631705961
2024-06,75,Policy,26.67,5.33,16.0,78.67,Positive,3.091973138457416,2614.05,0.9285714285714342
2024-07,117,Banking,17.09,5.13,9.4,85.47,Positive,2.9937482459070357,2666.2608695652175,1.9973171731687334
2024-08,135,Trade,20.0,8.89,11.85,79.26,Positive,3.146502784692662,2703.031818181818,1.3791204392763268
2024-09,98,Trade,18.37,5.1,10.2,84.69,Positive,3.1434429945987,2720.2595238095237,0.6373474966822279
2024-10,93,Trade,23.66,8.6,15.05,76.34,Positive,2.999717051201856,2713.478260869565,-0.24928735220314246
2024-11,90,Policy,23.33,8.89,15.56,75.56,Positive,2.9969813418943003,2655.714285714286,-2.1287797285233445
2024-12,62,Policy,22.58,11.29,14.52,74.19,Positive,3.1,2457.159090909091,-7.476526969533959
